ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,review_pool_variant,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,38,https://openalex.org/W4416258760,ECHO: Frequency-Aware Hierarchical Encoding for Variable-Length Signals,2026,0,,,-0.15277,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.99182,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,39,https://openalex.org/W7136245664,"eXCube2: Explainable Brain-Inspired Spiking Neural Network Framework for Emotion Recognition from Audio, Visual and Multimodal Audio-Visual Data",2026,0,,,-0.152994,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.987126,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,40,https://openalex.org/W7127282231,Analysis of an intelligent piano music transcription model by deep reinforcement learning,2026,0,,,-0.153255,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.981644,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,41,https://openalex.org/W7155486285,Automatic chick cough detection system based on improved audio spectrogram convolutional transformer neural network,2026,0,,,-0.153337,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.97993,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,42,https://openalex.org/W7155372642,Automated detection of stereotyped animal sounds using data augmentation and transfer learning,2026,0,,,-0.153346,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.979734,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,43,https://openalex.org/W7118190673,VEHICLE SOUND DETECTION USING DEEP LEARNING MODELS,2025,0,,,-0.153347,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.979705,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,44,https://openalex.org/W4416291813,HashWave: blockchain-powered perceptual hashing for resilient audio piracy detection against signal-processing attacks in decentralized networks,2025,0,,,-0.153702,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.972259,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,45,https://openalex.org/W7155620296,DBAN-Net: a dual-branch attention network for acoustic fault detection in electrical power equipment,2026,0,,,-0.153767,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.970886,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,46,https://openalex.org/W7143719133,The Hi-Audio online platform for recording and distributing multi-track music datasets,2026,0,,,-0.154326,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.959152,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,47,https://openalex.org/W7155160852,CABIF-Net: Robust Confidence-Based Audio-Visual Fusion for Fine-Grained Bird Recognition,2026,0,,,-0.154443,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.956693,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,48,https://openalex.org/W7150384823,Transkripcija kitarskih tablatur z globokimi transformerskimi modeli,2026,0,,,-0.154504,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.955419,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,49,https://openalex.org/W7135104131,Bayesian-Optimized Ensemble Learning for Music Popularity Prediction with Shapley-Based Interpretability,2026,0,,,-0.154575,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.953934,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,50,https://openalex.org/W7150806375,Praat Audiotools: An offline analysis-resynthesis toolkit for experimental composition,2026,0,,,-0.154871,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.947713,1,true,,,,
